@RELATION "composer dataset"

@ATTRIBUTE MFCC-0 REAL
@ATTRIBUTE MFCC-1 REAL
@ATTRIBUTE MFCC-2 REAL
@ATTRIBUTE MFCC-3 REAL
@ATTRIBUTE MFCC-4 REAL
@ATTRIBUTE MFCC-5 REAL
@ATTRIBUTE MFCC-6 REAL
@ATTRIBUTE MFCC-7 REAL
@ATTRIBUTE MFCC-8 REAL
@ATTRIBUTE MFCC-9 REAL
@ATTRIBUTE MFCC-10 REAL
@ATTRIBUTE MFCC-11 REAL
@ATTRIBUTE MFCC-12 REAL
@ATTRIBUTE flatness-mean REAL
@ATTRIBUTE flatness-variance REAL
@ATTRIBUTE rolloff-mean REAL
@ATTRIBUTE rolloff-variance REAL
@ATTRIBUTE centroid-mean REAL
@ATTRIBUTE centroid-variance REAL
@ATTRIBUTE flux-mean REAL
@ATTRIBUTE flux-variance REAL
@ATTRIBUTE energy-mean REAL
@ATTRIBUTE energy-variance REAL
@ATTRIBUTE ZCR-mean REAL
@ATTRIBUTE ZCR-variance REAL
@ATTRIBUTE flatness-std REAL
@ATTRIBUTE flatness-hmean REAL
@ATTRIBUTE composer {bach, beethoven, chopin, haydn, liszt, mendelssohn, mozart, vivaldi}

@DATA
-53.472397,-51.268356,-47.853359,-47.436157,-47.82938,-50.411152,-49.162449,-45.291649,-46.734932,-48.372299,-51.5425,-55.056637,-53.808769,0.20057560748374142,0.00090255801386678828,4505.4006968641115,3696791.3899646467,7202.7359234923961,1264288.9184723725,10.407790649412586,95.861170710593001,3.717393317188435,139.56071399700676,0.082329171506000776,0.00056167599716871455,0.030042603313740777,0.19615111050526821,bach
-57.064236,-49.811092,-49.149723,-56.675499,-48.578362,-51.267719,-49.332825,-48.197727,-48.19965,-45.523094,-47.098511,-45.572262,-48.998276,0.27764114272534457,0.0017708606002620354,3200.1742160278745,2279155.0219135163,7025.7786761736897,1467794.3475759488,34.582633142975752,2190.7208972483872,14.985982877941224,3342.6133417516298,0.048893153552071238,0.00079410926128095616,0.042081594554651033,0.27078086781089855,bach
-58.199814,-44.161217,-53.982121,-49.441219,-50.403053,-52.94556,-47.244667,-47.024696,-46.020836,-45.411655,-44.650639,-49.536476,-50.981411,0.27948222397327238,0.0015308452474384145,2684.320557491289,2837733.2491592327,6584.1899738260081,2058974.4926384343,65.443390169487046,2932.5373594214489,1299.2310989736127,39631264.62162403,0.042249277124467674,0.00021077309413614911,0.039126017525917642,0.27410153002524873,bach
-55.19001,-50.550575,-50.343143,-47.709618,-49.868259,-46.673988,-45.50985,-43.564777,-47.63007,-53.452652,-54.789818,-56.577496,-56.471867,0.1864974975983994,0.00055549804974963201,6194.9477351916375,3142805.4850732698,6880.7794027354339,1173535.2177308274,17.252300636232061,332.57754763760698,6.8913632137435652,521.95161374837392,0.087246388646922177,0.00032782762292073305,0.023569006125622523,0.18361676414371922,bach
-51.862343,-51.260315,-49.275818,-56.548191,-57.961098,-53.864948,-52.861511,-51.535061,-54.496433,-53.877724,-54.016811,-51.634991,-53.648556,0.32190569623745185,0.0018570189140863053,2540.9407665505228,1270527.6863868586,7551.738796563468,1317941.2392059106,121.86774914512974,29258.397353408291,107.91955808735609,618088.60719318443,0.031561910206155633,0.00015077487498730494,0.043093142309261985,0.31613578914526164,bach
-51.914814,-53.603817,-52.24852,-55.514523,-56.946716,-48.31456,-46.544781,-47.292568,-47.740372,-50.054688,-49.205544,-47.23785,-51.117344,0.31435433629520909,0.0014469313996140324,3003.4843205574912,451660.33337784745,6818.7174781625044,1887462.9642031747,164.28865792683931,37495.257005387015,261.58052879805325,1830514.8366256545,0.029863984465737514,7.0008083266941246e-05,0.038038551492059113,0.30982511185001849,bach
-57.769596,-62.721783,-55.7342,-63.146049,-64.065102,-57.852474,-57.016911,-55.153782,-58.805439,-60.379158,-61.122627,-56.310928,-56.903217,0.33463107574438339,0.0020940379797878194,3141.98606271777,1829883.5120008592,7586.6856878962208,1537552.3151843033,154.4559749632993,26693.024368798739,956.35940657802826,140204872.12377721,0.031555861038521101,0.00010430886486890549,0.045760659739429235,0.32846601221502159,bach
-56.542664,-47.954613,-47.226498,-52.38372,-53.279556,-52.990723,-54.625252,-48.659447,-48.452415,-46.268547,-42.311604,-48.183254,-46.246822,0.19064525098612362,0.00057334977442051059,5579.7909407665502,3230880.7925311513,6342.3730376122121,939702.62648118439,23.690621710082056,3055.8076150131074,19.233413211233316,6389.6087679695147,0.081430492039295393,0.0002396264503022855,0.023944723310585791,0.1878218709510302,bach
-54.372478,-50.482723,-45.363503,-50.648239,-54.125694,-47.973782,-48.588223,-46.857254,-50.410458,-50.283024,-47.062344,-45.872723,-50.024662,0.24605471765722731,0.00066722701724973013,4223.8675958188151,733829.29257365142,6391.5004839334106,1097716.085879751,20.039198963645813,345.55161330323648,2.912100744386044,87.410009687575027,0.048483322444831591,0.00011682823948794061,0.025830737837888605,0.24335135532106561,bach
-52.806602,-48.852207,-46.130573,-54.999825,-49.564514,-47.898777,-48.589802,-44.272232,-47.08646,-47.364254,-47.427002,-47.841892,-47.211308,0.22429439791218975,0.00064128437950081662,4816.5505226480836,1743933.3972732502,6690.7446673751756,933641.75911637698,13.358243651575604,273.50228940397437,10.16393706955472,9037.0862335677448,0.058715489498644989,0.00016371810028402263,0.025323593337060534,0.22145957930075652,bach
-56.746895,-59.981289,-54.502579,-54.472778,-61.393887,-53.232201,-54.234512,-50.458908,-57.172852,-58.018639,-55.756248,-56.262497,-57.870247,0.23555337370272714,0.0012459330480328417,5136.5853658536589,2275630.1521203076,7177.843180905651,1309941.351091966,5.3107634247030067,32.080426599462697,0.59075811609681605,7.192636976906801,0.060573340108401083,0.00018163161289992986,0.035297776814310018,0.22990138586834141,bach
-51.861897,-47.936462,-45.702847,-46.233238,-45.855843,-43.819199,-45.317532,-44.61417,-44.671474,-42.663998,-44.672676,-46.8993,-48.163609,0.32784332776318859,0.0013217439789793199,3458.3623693379791,1448553.7641588466,6626.0789317132148,1737630.6356758173,65.746030574060896,3512.2663367135624,172.0076748967528,1575035.023459217,0.030375895276809912,7.106316077893046e-05,0.036355797047779324,0.32382277331702619,bach
-54.721844,-48.29985,-47.784466,-55.356178,-48.951172,-50.523556,-50.596714,-52.146633,-52.197983,-48.74855,-51.018856,-46.692711,-44.495609,0.17730114146334416,0.0012371012187108817,4674.5644599303132,6509736.3085626923,6585.3921357796171,6807127.1628747527,23.413153447704033,648.07163683946214,22.658764823448756,26344.453957110643,0.092245647623886956,0.00072856417276798808,0.035172449711541015,0.17020482701522624,bach
-55.573994,-54.026108,-55.502213,-55.335716,-57.338257,-51.28228,-50.074997,-50.440769,-54.274815,-56.562496,-55.50148,-53.273964,-52.592533,0.33014350109007118,0.0012406953610902827,2877.7003484320558,1245513.1785016435,6654.7148261696066,1434537.731713661,92.786547877739622,6745.5237732450923,107.98446395515525,424152.5162539733,0.028318422135114207,8.4549888850580791e-05,0.035223505803515395,0.32628566784002061,bach
-54.547489,-54.900955,-52.085449,-56.272884,-57.747646,-53.138596,-54.060329,-52.478901,-53.456646,-53.943665,-56.638577,-56.203388,-51.267456,0.23474287812533509,0.00062996881123705568,6268.1184668989545,3368103.7769063343,6842.854276213312,977145.69548305764,17.715445261429874,226.31494887344257,2.2916702429035638,252.81682772352806,0.065993772381920252,0.00015116132477193761,0.025099179493303276,0.23204322673654737,bach
-54.200386,-55.710915,-53.926571,-55.075798,-58.428623,-50.23391,-51.377785,-50.620075,-50.879341,-56.176384,-55.123734,-55.058567,-54.113369,0.2123157469872306,0.0010020657635846826,5235.8885017421599,542074.38478066213,6862.0389032367584,1617389.8740417494,7.8433157030840599,131.33848160644777,1.901000879442208,32.275930058401379,0.062578261106271779,0.00017309480931832706,0.031655422340962101,0.20802552078822634,bach
-55.378475,-53.029381,-50.044353,-57.717564,-56.956741,-50.797146,-52.956619,-50.566898,-50.147507,-50.784828,-50.184475,-47.899826,-49.985374,0.23470714687724192,0.00090004956289609311,4416.2020905923346,2720181.7431315123,7099.7176423406954,1184783.9811062932,8.6578189504501939,69.171836765138067,0.47944878615922243,2.3574940762092722,0.055450451267905536,0.0001592135505386658,0.030000826036895935,0.23088333684337101,bach
-57.075943,-64.562393,-58.47963,-65.794334,-64.788101,-59.507256,-59.336216,-57.974892,-62.759678,-61.646877,-60.754307,-63.21175,-60.521805,0.31426307320756319,0.0020960295474023753,2613.5888501742161,983003.49646102299,7331.2385287932821,1657425.5521346971,32.247109944581339,1441.1990113233569,4.9526450727322704,745.92606639795997,0.031458696283391402,0.00014852066528994046,0.045782415263967619,0.3074179736060092,bach
-55.791767,-57.103027,-52.438236,-56.016903,-59.794582,-52.907188,-51.333694,-52.140987,-54.612148,-51.415989,-54.218758,-51.227966,-52.968288,0.25932007929958489,0.0016361664919965818,3974.2160278745646,6474648.7756317006,6546.7355038313917,954665.6690938531,13.71820352683684,1109.8866676292021,6.3567698379654498,1072.4634900929991,0.053014149003097172,0.00038569203318486532,0.040449554904801878,0.25264391677576853,bach
-52.792789,-49.808556,-46.460106,-48.592854,-49.210983,-48.874844,-44.949833,-50.321865,-48.780312,-52.920174,-52.477417,-46.819885,-47.314693,0.2275434951252869,0.00077701866797206794,3586.0627177700349,2776321.4316065027,6902.3437529300654,1109338.8351051616,11.963403538521343,203.88655019057694,13.158639109547861,2320.3381223981596,0.05883269212156407,0.00021272710411947176,0.027875054582405179,0.22413933644882902,bach
-55.844845,-60.93951,-56.192032,-60.839268,-58.984253,-59.655052,-53.786797,-54.535336,-57.601849,-52.733494,-54.543941,-54.187275,-56.108994,0.30194385208411589,0.0015693685213655642,3200.3484320557491,1314459.808908673,6675.1599764762996,1578208.9210455241,48.120726089028949,1514.4283240729637,4.9573570981048523,338.4569701791558,0.042191810031939607,0.00019133005857981244,0.039615256169379547,0.29667505498245028,bach
-59.424644,-58.180012,-53.059944,-58.095119,-61.327377,-56.763191,-56.27692,-53.310246,-60.458572,-55.638401,-55.045845,-52.878128,-53.721592,0.24346420036191124,0.00060948422505383536,6002.0905923344944,1785100.1590404799,7201.0460732017336,1697312.767224317,8.4389917829726215,47.206061903112591,0.54715317188258161,2.1085814949363733,0.05749091112562911,6.9981459987765779e-05,0.024687734303775941,0.24096865818107399,bach
-57.237572,-51.487225,-53.302139,-56.382729,-55.960476,-54.457359,-57.919479,-53.701435,-53.8983,-52.637833,-53.109882,-52.076496,-53.50341,0.30506160583576397,0.0025093097681950396,3970.905923344948,2076758.0643203482,7512.2107980855899,1466552.9230456401,35.676305063902475,3792.7353194083953,3.8463575680323681,254.33433150199272,0.040212597996515678,0.00047228235190110719,0.050093011171170772,0.29687224050530936,bach
-56.145836,-52.725113,-48.547783,-54.142494,-55.62923,-52.451687,-52.786118,-54.341988,-52.072311,-52.25745,-55.881939,-50.74073,-52.379154,0.24166246847708558,0.00079852478979244878,3397.560975609756,2071823.3194527251,6104.7158107661571,1105561.6542947728,29.537493538669594,1084.9840161030972,42.274594870497396,90066.125680617508,0.049553268970189704,0.00017583118001497853,0.028258180935659124,0.2384788313995998,bach
-56.904167,-55.916767,-52.572334,-55.175491,-53.690472,-60.124931,-58.527264,-56.418297,-67.729965,-59.293327,-57.429867,-55.655758,-54.783562,0.18466539946617289,0.00071873861762114619,5016.5505226480836,3945692.9791548429,6949.386216101977,2241827.0875110445,17.131242016841632,291.24939102787994,21.506241771536409,8843.4966163830122,0.079446743128145564,0.00034000586004570354,0.02680930095360836,0.18058136934897395,bach
-55.827984,-61.859047,-54.195564,-57.575119,-56.08128,-52.970013,-55.093197,-52.25592,-52.058712,-51.809872,-51.538395,-51.866829,-55.021591,0.22435716412993212,0.00085383378447891718,5031.8815331010455,1334201.3378819712,7275.0795983503922,1427956.4443833742,14.491105737240334,327.84768459668055,3.0102870289324577,229.49438713239365,0.061766916497289971,0.00030503084206899095,0.029220434364993914,0.22053426867994239,bach
-49.97752,-47.417767,-46.295345,-46.854397,-46.487923,-45.383053,-46.472549,-43.400146,-42.212845,-41.453896,-41.920631,-41.204861,-41.725346,0.32518149190663459,0.001582881663876998,3037.2822299651566,517024.6694751539,6733.0193731209774,2016235.6030533263,143.77930464487966,24006.678586723152,857.4456401421229,27383941.724628776,0.028836382113821137,6.3646835099930038e-05,0.039785445377386416,0.32026086930797887,bach
-57.31802,-56.152962,-49.599655,-44.828102,-43.353836,-52.523087,-47.460598,-44.044437,-45.899624,-51.332962,-56.222023,-49.083786,-49.846146,0.2005540079044548,0.00076549110967183572,4137.9790940766552,2610177.7974723028,6688.1268141831806,941883.24713489693,34.993426964811889,1485.3961067443636,40.987035746601599,94391.516972762765,0.07719607469512195,0.00033998871649268332,0.027667510001296389,0.19683448480244101,bach
-55.58749,-49.630447,-47.117874,-51.310078,-51.503117,-49.408733,-52.938255,-47.992435,-51.584858,-48.493801,-50.014656,-47.301846,-49.819134,0.209479134689917,0.00044359910466273245,4575.4355400696868,1875764.1831271467,6568.9482871781847,1300784.8426532184,18.111081147858489,202.5037226095007,7.4838859109135853,1977.5791615656155,0.064136677918118473,0.00015287874726273816,0.021061792532040869,0.20740343174423501,bach
-57.224739,-58.945534,-55.988998,-60.95882,-61.808205,-56.052017,-59.929935,-55.72023,-57.515911,-59.621101,-59.784363,-57.88113,-56.711514,0.20834799346838909,0.00065109217012403913,3924.3902439024391,1385885.9522392994,6391.9842897445433,820743.88361004251,7.5275409312452224,35.817551815090766,1.9538425415412299,113.47331317538575,0.066174113192024778,0.00022641404109158077,0.025516507796405824,0.20523925101623941,bach
-59.271206,-58.622395,-47.120537,-53.348911,-60.007549,-51.113159,-49.302555,-49.96262,-51.789986,-46.851303,-46.920113,-51.286522,-45.661831,0.31766322387820106,0.0018110756350981129,2625.4355400696863,1066914.0089111251,6667.5254824022149,1368551.3055402795,54.807966011511091,3012.0132859852065,98.198802966750947,94935.068044629879,0.027289307491289199,0.00010148378554783772,0.042556734309602669,0.31213546027776551,bach
-54.29562,-52.015907,-54.933922,-56.366863,-58.116524,-55.714474,-53.921402,-51.26049,-55.673988,-52.597195,-49.750534,-46.295612,-47.733086,0.19118790527819388,0.00068324517386778028,6030.4878048780483,826344.01291747065,7316.9119087127674,1892217.563143688,9.8470347253703068,170.24783402655731,0.7516327356562208,7.0137726828635092,0.08318059185056137,0.00030254926131129757,0.026138958928537692,0.18769176561059628,bach
-54.022175,-52.805721,-49.682186,-53.857632,-62.07066,-53.032448,-54.998764,-50.910446,-53.309208,-54.651848,-56.464676,-53.06707,-54.034031,0.19691729988647533,0.00073350355117641423,4795.2961672473866,3400770.5568842352,6705.5875484689559,899977.11294068547,34.623715188837402,986.01749603219844,35.095428047197089,34096.385156025448,0.080852418457220285,0.00027632194166357107,0.027083270688312632,0.1932673510700611,bach
-50.159386,-47.172745,-46.874123,-48.278111,-46.707344,-50.297115,-55.094234,-50.034744,-49.701908,-47.54285,-46.042503,-46.070698,-49.095562,0.2993462992427518,0.0024828357770517546,4045.2961672473866,1435979.6161176758,6470.9801138339926,1654453.7049630224,86.438736527500524,7358.6354234073378,269.98354177297358,1515372.251308471,0.03974492172377081,0.00022371274623934377,0.049828062144255163,0.28930173482072352,bach
-56.686317,-55.12759,-55.650486,-54.179008,-55.270134,-52.241146,-52.476131,-53.429691,-56.196205,-53.373127,-52.460979,-51.349899,-53.604305,0.19516048735304023,0.0004209808319424721,5533.6236933797909,985393.83748737676,6602.6488112251382,1093420.5268766375,5.0455546549503723,86.936904891356448,0.5523051733219202,2.4482437952971878,0.069969209736740229,0.00014065895400287452,0.020517817426385102,0.19299710335876374,bach
-45.138332,-43.105923,-46.336895,-44.804684,-43.548332,-46.562496,-42.444687,-42.430355,-43.006573,-44.868172,-47.599731,-45.42873,-41.912399,0.27567377909758367,0.0011988168132295962,4027.5261324041812,2152203.9845087607,6602.3140547306002,1342035.0762481354,68.598056990556643,6322.4778966181921,25.508879622888418,9727.7979115782528,0.046625093762098335,0.00016382221374932181,0.034623934109653053,0.27115915141488811,bach
-56.678154,-54.654594,-51.734013,-55.099564,-60.634865,-50.913548,-50.965298,-49.083401,-50.616562,-49.860001,-52.441677,-49.239994,-52.24575,0.23940802939262124,0.0011351536965831868,5072.8222996515678,2642031.4074468883,6562.8219022968688,1341788.6270143567,43.333431513617306,3354.2020302314163,2.0837714608720974,46.895437125912949,0.058735527366434379,0.00017142381032724546,0.033692042036409527,0.2344602969127032,bach
