@RELATION "composer dataset"

@ATTRIBUTE filename STRING
@ATTRIBUTE MFCC-0 REAL
@ATTRIBUTE MFCC-1 REAL
@ATTRIBUTE MFCC-2 REAL
@ATTRIBUTE MFCC-3 REAL
@ATTRIBUTE MFCC-4 REAL
@ATTRIBUTE MFCC-5 REAL
@ATTRIBUTE MFCC-6 REAL
@ATTRIBUTE MFCC-7 REAL
@ATTRIBUTE MFCC-8 REAL
@ATTRIBUTE MFCC-9 REAL
@ATTRIBUTE MFCC-10 REAL
@ATTRIBUTE MFCC-11 REAL
@ATTRIBUTE MFCC-12 REAL
@ATTRIBUTE flatness-mean REAL
@ATTRIBUTE flatness-variance REAL
@ATTRIBUTE rolloff-mean REAL
@ATTRIBUTE rolloff-variance REAL
@ATTRIBUTE centroid-mean REAL
@ATTRIBUTE centroid-variance REAL
@ATTRIBUTE flux-mean REAL
@ATTRIBUTE flux-variance REAL
@ATTRIBUTE energy-mean REAL
@ATTRIBUTE energy-variance REAL
@ATTRIBUTE ZCR-mean REAL
@ATTRIBUTE ZCR-variance REAL
@ATTRIBUTE flatness-std REAL
@ATTRIBUTE flatness-hmean REAL
@ATTRIBUTE period {baroque, classical, romantic}

@DATA
78,-60.09251,-50.467079,-51.054993,-52.427452,-51.705002,-51.709785,-49.144932,-50.775326,-49.490826,-49.10276,-51.532646,-53.375629,-52.247883,0.3567118484626387,0.0036911437477241257,4610.452961672474,968862.86102781398,7840.7764409117308,1523949.2749509376,56.989720581646722,8851.8278063114467,7.1216161448329371,2014.2376262535288,0.039344164367982964,0.00013207895420226326,0.060754783743538467,0.34639617526177524,baroque
181,-50.169277,-43.187595,-52.142258,-51.742325,-46.543655,-44.744038,-44.303646,-46.332783,-45.15757,-44.792221,-43.314392,-44.335709,-46.675865,0.32048118178506624,0.0026238174936273973,3050.3484320557491,1257282.1085602595,7188.319404652264,1630970.1310151643,126.27936887586482,85863.470904597256,20.991518336809271,11052.113342367034,0.037167976311459544,0.00020101139586971292,0.051223212449312445,0.31210146036577063,baroque
40,-54.800438,-50.495403,-51.120869,-48.354679,-50.763958,-53.643982,-50.546944,-47.333454,-49.465599,-53.427849,-50.667442,-49.108097,-52.815735,0.26734527249784834,0.0016982876409160333,3333.7979094076654,2457132.9626437132,7007.331406389887,1435894.6700349934,197.17114820583726,40093.108021662083,4393.659540416792,858208925.40996194,0.050330965084204413,0.00024742655165981123,0.041210285620413178,0.26115005691058296,baroque
25,-51.927551,-45.725243,-44.600712,-41.930996,-39.198673,-39.781746,-39.841049,-38.040329,-38.374798,-38.572353,-37.945297,-40.067505,-37.209351,0.34466852050994284,0.003944297543825589,3760.2787456445994,2416854.2777015623,7211.2486307141953,1674145.7464538778,104.9242492190083,33589.401841489256,81.543526044701181,273439.88464453921,0.036102188588850177,0.00018709829595919266,0.062803642759202985,0.3336690919917159,baroque
31,-58.941177,-41.345852,-36.832527,-37.547722,-43.320396,-38.323471,-42.107731,-42.884079,-36.112926,-48.612862,-39.631332,-42.36705,-46.528801,0.2657720959098866,0.0012300283583237905,3072.6480836236933,1797779.7472350036,6588.645035315797,1355869.1612833349,172.22671256063524,20958.998325548273,5992.7299011467858,1216343889.1459455,0.049024344875145183,0.00016244832841547335,0.035071760125830451,0.26118726947094578,baroque
129,-72.308258,-69.390579,-71.418816,-68.212837,-70.663498,-77.064819,-75.708664,-74.93438,-77.617813,-76.811996,-76.855011,-78.583557,-74.692047,0.3582580414360178,0.0039592287550669365,3508.3623693379791,1358222.7537058843,7261.3132323273567,1627615.701447645,432.51094825241023,371838.40417418571,85.532548054167322,175526.33488882802,0.033666642469996129,0.0001472166288997414,0.062922402648555434,0.34761761838730199,baroque
50,-54.770237,-46.416435,-42.987118,-39.475262,-39.955853,-38.709354,-39.236454,-33.642376,-39.328449,-37.821785,-35.91922,-40.568577,-34.546677,0.29404371595525758,0.0020330215270886534,4008.7108013937282,2394976.3867474413,6942.8826712897435,1395125.3922423839,329.23299210412159,162602.92993301022,902.2892512690396,36820814.784480348,0.045417906746031744,0.00017196619360255392,0.045089039988545479,0.28730561394790766,baroque
131,-58.171787,-49.737362,-50.151951,-46.199547,-40.343498,-46.747169,-49.24522,-50.473038,-47.916653,-44.791054,-45.476616,-45.730225,-46.010765,0.26677383476110378,0.0013198164343788004,4265.8536585365855,550401.97161553486,6558.3694298508271,1003557.2165247438,42.396058933429373,3871.7574605803179,14.396943874742584,2345.6839627996605,0.047513187185443284,0.00015479388951118633,0.036329277922617732,0.26198036454486434,baroque
109,-62.573154,-52.015312,-47.396469,-47.101997,-46.837059,-51.407845,-51.542282,-53.404922,-52.014465,-51.494442,-47.972195,-47.433281,-48.589005,0.25274365048306052,0.0012804434572763678,3893.5540069686413,1319096.0798358603,6805.6476166090488,1272861.063704686,52.670264117532213,3307.8109094038869,57.249983025633718,202141.80969287155,0.049746842334494772,0.00018084808408765611,0.035783284607150974,0.24770793061411023,baroque
53,-64.092453,-61.955345,-64.530998,-64.963516,-61.917995,-63.326168,-64.650406,-66.465752,-63.471165,-59.129856,-60.451542,-60.807755,-66.973701,0.34730847364495626,0.0032780852627077475,3201.3937282229967,1331444.0505529994,6684.5890735208277,1567416.4331347297,192.24374122652858,24098.591844687195,62.2851390634886,64645.409188443322,0.03962620680894309,0.00017840921955921448,0.057254565431131756,0.33814412744339795,baroque
